Family	Hotel	Park	Day
Lopez	Mammoth Motel	Jumbo Studios	Friday
Lopez	Mammoth Motel	World's Fair	Saturday
Lopez	Mammoth Motel	Jumbo Golf Course	Sunday
Hill	Tusk Hotel	Jumbo Kingdom	Friday
Hill	Tusk Hotel	Trunk Water Park	Saturday
Hill	Tusk Hotel	Jumbo Studios	Sunday
Scott	Trunk Inn	World's Fair	Friday
Scott	Trunk Inn	Jumbo Kingdom	Saturday
Scott	Trunk Inn	Animal Planet Zoo	Sunday
Green	Mammoth Motel	Jumbo Kingdom	Friday
Green	Mammoth Motel	Jumbo Studios	Saturday
Green	Mammoth Motel	World's Fair	Sunday
Adams	Loxodon Lodge	Jumbo Studios	Friday
Adams	Loxodon Lodge	Jumbo Kingdom	Saturday
Adams	Loxodon Lodge	World's Fair	Sunday
Baker	Trunk Inn	Trunk Water Park	Friday
Baker	Trunk Inn	Jumbo Kingdom	Saturday
Baker	Trunk Inn	Animal Planet Zoo	Sunday
Gonzalez	Trunk Inn	World's Fair	Friday
Gonzalez	Trunk Inn	World's Fair	Saturday
Gonzalez	Trunk Inn	Animal Planet Zoo	Sunday
Nelson	Trunk Inn	World's Fair	Friday
Nelson	Trunk Inn	World's Fair	Saturday
Nelson	Trunk Inn	Jumbo Kingdom	Sunday
Carter	Mammoth Motel	World's Fair	Friday
Carter	Mammoth Motel	Jumbo Studios	Saturday
Carter	Mammoth Motel	Jumbo Kingdom	Sunday
Mitchell	Trunk Inn	Jumbo Kingdom	Friday
Mitchell	Trunk Inn	Jumbo Kingdom	Saturday
Mitchell	Trunk Inn	Jumbo Kingdom	Sunday
Perez	Mouse Resort	Jumbo Golf Course	Friday
Perez	Mouse Resort	Jumbo Studios	Saturday
Perez	Mouse Resort	Jumbo Studios	Sunday
Roberts	Pachyderm Suites	Jumbo Golf Course	Friday
Roberts	Pachyderm Suites	Jumbo Studios	Saturday
Roberts	Pachyderm Suites	Jumbo Kingdom	Sunday
Turner	Mouse Resort	Jumbo Golf Course	Friday
Turner	Mouse Resort	Jumbo Studios	Saturday
Turner	Mouse Resort	World's Fair	Sunday
Phillips	Elephant Lodge	Animal Planet Zoo	Friday
Phillips	Elephant Lodge	Trunk Water Park	Saturday
Phillips	Elephant Lodge	Jumbo Kingdom	Sunday
Campbell	Mammoth Motel	Trunk Water Park	Friday
Campbell	Mammoth Motel	Jumbo Studios	Saturday
Campbell	Mammoth Motel	Animal Planet Zoo	Sunday
Parker	Mouse Resort	Jumbo Golf Course	Friday
Parker	Mouse Resort	Jumbo Kingdom	Saturday
Parker	Mouse Resort	Trunk Water Park	Sunday
Evans	Oliphant Camp	World's Fair	Friday
Evans	Oliphant Camp	Jumbo Golf Course	Saturday
Evans	Oliphant Camp	Trunk Water Park	Sunday
Edwards	Elephant Lodge	Animal Planet Zoo	Friday
Edwards	Elephant Lodge	Trunk Water Park	Saturday
Edwards	Elephant Lodge	Jumbo Kingdom	Sunday
Collins	Pachyderm Suites	Animal Planet Zoo	Friday
Collins	Pachyderm Suites	Jumbo Kingdom	Saturday
Collins	Pachyderm Suites	Jumbo Studios	Sunday
Stewart	Pachyderm Suites	Jumbo Studios	Friday
Stewart	Pachyderm Suites	Jumbo Kingdom	Saturday
Stewart	Pachyderm Suites	World's Fair	Sunday
Sanchez	Pachyderm Suites	World's Fair	Friday
Sanchez	Pachyderm Suites	Jumbo Kingdom	Saturday
Sanchez	Pachyderm Suites	Animal Planet Zoo	Sunday
Morris	Loxodon Lodge	Jumbo Studios	Friday
Morris	Loxodon Lodge	Trunk Water Park	Saturday
Morris	Loxodon Lodge	Animal Planet Zoo	Sunday
Rogers	Loxodon Lodge	Jumbo Golf Course	Friday
Rogers	Loxodon Lodge	Jumbo Golf Course	Saturday
Rogers	Loxodon Lodge	World's Fair	Sunday
Reed	Pachyderm Suites	Jumbo Kingdom	Friday
Reed	Pachyderm Suites	World's Fair	Saturday
Reed	Pachyderm Suites	Trunk Water Park	Sunday
Cook	Loxodon Lodge	World's Fair	Friday
Cook	Loxodon Lodge	Jumbo Studios	Saturday
Cook	Loxodon Lodge	Trunk Water Park	Sunday
Morgan	Pachyderm Suites	Animal Planet Zoo	Friday
Morgan	Pachyderm Suites	Animal Planet Zoo	Saturday
Morgan	Pachyderm Suites	Jumbo Studios	Sunday
Bell	Mammoth Motel	Jumbo Kingdom	Friday
Bell	Mammoth Motel	Jumbo Studios	Saturday
Bell	Mammoth Motel	World's Fair	Sunday
Murphy	Oliphant Camp	World's Fair	Friday
Murphy	Oliphant Camp	Jumbo Kingdom	Saturday
Murphy	Oliphant Camp	Trunk Water Park	Sunday
Bailey	Trunk Inn	Jumbo Kingdom	Friday
Bailey	Trunk Inn	Trunk Water Park	Saturday
Bailey	Trunk Inn	Animal Planet Zoo	Sunday
Rivera	Loxodon Lodge	World's Fair	Friday
Rivera	Loxodon Lodge	World's Fair	Saturday
Rivera	Loxodon Lodge	Jumbo Kingdom	Sunday
Cooper	Trunk Inn	Jumbo Kingdom	Friday
Cooper	Trunk Inn	World's Fair	Saturday
Cooper	Trunk Inn	World's Fair	Sunday
Richardson	Tusk Hotel	Jumbo Kingdom	Friday
Richardson	Tusk Hotel	World's Fair	Saturday
Richardson	Tusk Hotel	Jumbo Studios	Sunday
Cox	Loxodon Lodge	World's Fair	Friday
Cox	Loxodon Lodge	Jumbo Kingdom	Saturday
Cox	Loxodon Lodge	Jumbo Studios	Sunday
Howard	Trunk Inn	World's Fair	Friday
Howard	Trunk Inn	Jumbo Kingdom	Saturday
Howard	Trunk Inn	Animal Planet Zoo	Sunday
Ward	Pachyderm Suites	World's Fair	Friday
Ward	Pachyderm Suites	Jumbo Studios	Saturday
Ward	Pachyderm Suites	Jumbo Kingdom	Sunday
Torres	Loxodon Lodge	Jumbo Kingdom	Friday
Torres	Loxodon Lodge	Jumbo Kingdom	Saturday
Torres	Loxodon Lodge	Jumbo Studios	Sunday
Peterson	Oliphant Camp	World's Fair	Friday
Peterson	Oliphant Camp	Jumbo Golf Course	Saturday
Peterson	Oliphant Camp	Jumbo Golf Course	Sunday
Gray	Mammoth Motel	Animal Planet Zoo	Friday
Gray	Mammoth Motel	Trunk Water Park	Saturday
Gray	Mammoth Motel	Jumbo Studios	Sunday
Ramirez	Oliphant Camp	World's Fair	Friday
Ramirez	Oliphant Camp	Animal Planet Zoo	Saturday
Ramirez	Oliphant Camp	Jumbo Kingdom	Sunday
James	Pachyderm Suites	World's Fair	Friday
James	Pachyderm Suites	Jumbo Studios	Saturday
James	Pachyderm Suites	Jumbo Golf Course	Sunday
Watson	Pachyderm Suites	Jumbo Golf Course	Friday
Watson	Pachyderm Suites	Jumbo Golf Course	Saturday
Watson	Pachyderm Suites	Jumbo Studios	Sunday
Brooks	Mammoth Motel	Trunk Water Park	Friday
Brooks	Mammoth Motel	Jumbo Studios	Saturday
Brooks	Mammoth Motel	World's Fair	Sunday
Kelly	Trunk Inn	Trunk Water Park	Friday
Kelly	Trunk Inn	Trunk Water Park	Saturday
Kelly	Trunk Inn	Jumbo Kingdom	Sunday
Sanders	Elephant Lodge	Jumbo Kingdom	Friday
Sanders	Elephant Lodge	Animal Planet Zoo	Saturday
Sanders	Elephant Lodge	Animal Planet Zoo	Sunday
Price	Loxodon Lodge	Jumbo Golf Course	Friday
Price	Loxodon Lodge	Jumbo Studios	Saturday
Price	Loxodon Lodge	Jumbo Kingdom	Sunday
Bennett	Mammoth Motel	Jumbo Studios	Friday
Bennett	Mammoth Motel	Jumbo Studios	Saturday
Bennett	Mammoth Motel	Jumbo Studios	Sunday
Wood	Trunk Inn	World's Fair	Friday
Wood	Trunk Inn	Jumbo Studios	Saturday
Wood	Trunk Inn	Jumbo Golf Course	Sunday
Barnes	Pachyderm Suites	Jumbo Kingdom	Friday
Barnes	Pachyderm Suites	World's Fair	Saturday
Barnes	Pachyderm Suites	Jumbo Studios	Sunday
Ross	Trunk Inn	Jumbo Kingdom	Friday
Ross	Trunk Inn	Trunk Water Park	Saturday
Ross	Trunk Inn	Animal Planet Zoo	Sunday
Henderson	Trunk Inn	Jumbo Kingdom	Friday
Henderson	Trunk Inn	Animal Planet Zoo	Saturday
Henderson	Trunk Inn	Jumbo Studios	Sunday
Coleman	Loxodon Lodge	Jumbo Studios	Friday
Coleman	Loxodon Lodge	Jumbo Kingdom	Saturday
Coleman	Loxodon Lodge	Animal Planet Zoo	Sunday
Jenkins	Mouse Resort	Jumbo Studios	Friday
Jenkins	Mouse Resort	Jumbo Golf Course	Saturday
Jenkins	Mouse Resort	World's Fair	Sunday
Perry	Oliphant Camp	Jumbo Kingdom	Friday
Perry	Oliphant Camp	Jumbo Kingdom	Saturday
Perry	Oliphant Camp	World's Fair	Sunday
Powell	Trunk Inn	Jumbo Kingdom	Friday
Powell	Trunk Inn	Jumbo Studios	Saturday
Powell	Trunk Inn	World's Fair	Sunday
Long	Loxodon Lodge	Jumbo Studios	Friday
Long	Loxodon Lodge	World's Fair	Saturday
Long	Loxodon Lodge	World's Fair	Sunday
Patterson	Pachyderm Suites	Jumbo Studios	Friday
Patterson	Pachyderm Suites	World's Fair	Saturday
Patterson	Pachyderm Suites	World's Fair	Sunday
Hughes	Mammoth Motel	World's Fair	Friday
Hughes	Mammoth Motel	Jumbo Studios	Saturday
Hughes	Mammoth Motel	Trunk Water Park	Sunday
Flores	Pachyderm Suites	World's Fair	Friday
Flores	Pachyderm Suites	Jumbo Studios	Saturday
Flores	Pachyderm Suites	Jumbo Kingdom	Sunday
Washington	Mammoth Motel	World's Fair	Friday
Washington	Mammoth Motel	Jumbo Studios	Saturday
Washington	Mammoth Motel	Animal Planet Zoo	Sunday
Butler	Trunk Inn	Jumbo Kingdom	Friday
Butler	Trunk Inn	Jumbo Studios	Saturday
Butler	Trunk Inn	World's Fair	Sunday
Simmons	Mammoth Motel	Trunk Water Park	Friday
Simmons	Mammoth Motel	Jumbo Studios	Saturday
Simmons	Mammoth Motel	Animal Planet Zoo	Sunday
Foster	Loxodon Lodge	Jumbo Golf Course	Friday
Foster	Loxodon Lodge	Jumbo Kingdom	Saturday
Foster	Loxodon Lodge	Jumbo Studios	Sunday
Gonzales	Trunk Inn	Jumbo Kingdom	Friday
Gonzales	Trunk Inn	World's Fair	Saturday
Gonzales	Trunk Inn	Jumbo Studios	Sunday
Bryant	Tusk Hotel	Jumbo Kingdom	Friday
Bryant	Tusk Hotel	World's Fair	Saturday
Bryant	Tusk Hotel	Jumbo Studios	Sunday
Alexander	Mammoth Motel	Trunk Water Park	Friday
Alexander	Mammoth Motel	World's Fair	Saturday
Alexander	Mammoth Motel	Jumbo Studios	Sunday
Russell	Tusk Hotel	Jumbo Kingdom	Friday
Russell	Tusk Hotel	Jumbo Kingdom	Saturday
Russell	Tusk Hotel	Animal Planet Zoo	Sunday
Griffin	Tusk Hotel	Jumbo Kingdom	Friday
Griffin	Tusk Hotel	Jumbo Studios	Saturday
Griffin	Tusk Hotel	Jumbo Golf Course	Sunday
Diaz	Oliphant Camp	Animal Planet Zoo	Friday
Diaz	Oliphant Camp	Jumbo Kingdom	Saturday
Diaz	Oliphant Camp	Trunk Water Park	Sunday
Hayes	Pachyderm Suites	Jumbo Studios	Friday
Hayes	Pachyderm Suites	Jumbo Golf Course	Saturday
Hayes	Pachyderm Suites	Jumbo Kingdom	Sunday
Myers	Trunk Inn	Jumbo Kingdom	Friday
Myers	Trunk Inn	Jumbo Kingdom	Saturday
Myers	Trunk Inn	Jumbo Studios	Sunday
Ford	Mammoth Motel	World's Fair	Friday
Ford	Mammoth Motel	World's Fair	Saturday
Ford	Mammoth Motel	Jumbo Golf Course	Sunday
Hamilton	Mammoth Motel	World's Fair	Friday
Hamilton	Mammoth Motel	Jumbo Golf Course	Saturday
Hamilton	Mammoth Motel	Trunk Water Park	Sunday
Graham	Trunk Inn	Jumbo Studios	Friday
Graham	Trunk Inn	Jumbo Kingdom	Saturday
Graham	Trunk Inn	Animal Planet Zoo	Sunday
Sullivan	Tusk Hotel	World's Fair	Friday
Sullivan	Tusk Hotel	World's Fair	Saturday
Sullivan	Tusk Hotel	Jumbo Kingdom	Sunday
Wallace	Tusk Hotel	Jumbo Kingdom	Friday
Wallace	Tusk Hotel	Jumbo Studios	Saturday
Wallace	Tusk Hotel	World's Fair	Sunday
Woods	Oliphant Camp	World's Fair	Friday
Woods	Oliphant Camp	Jumbo Studios	Saturday
Woods	Oliphant Camp	Jumbo Golf Course	Sunday
Cole	Mammoth Motel	Jumbo Kingdom	Friday
Cole	Mammoth Motel	Jumbo Kingdom	Saturday
Cole	Mammoth Motel	Trunk Water Park	Sunday
West	Oliphant Camp	Jumbo Studios	Friday
West	Oliphant Camp	Jumbo Golf Course	Saturday
West	Oliphant Camp	World's Fair	Sunday
Jordan	Tusk Hotel	Jumbo Kingdom	Friday
Jordan	Tusk Hotel	Jumbo Studios	Saturday
Jordan	Tusk Hotel	Jumbo Studios	Sunday
Owens	Loxodon Lodge	Animal Planet Zoo	Friday
Owens	Loxodon Lodge	World's Fair	Saturday
Owens	Loxodon Lodge	Jumbo Kingdom	Sunday
Reynolds	Pachyderm Suites	World's Fair	Friday
Reynolds	Pachyderm Suites	Trunk Water Park	Saturday
Reynolds	Pachyderm Suites	Jumbo Kingdom	Sunday
Fisher	Elephant Lodge	Trunk Water Park	Friday
Fisher	Elephant Lodge	Animal Planet Zoo	Saturday
Fisher	Elephant Lodge	World's Fair	Sunday
Ellis	Mammoth Motel	Animal Planet Zoo	Friday
Ellis	Mammoth Motel	Jumbo Studios	Saturday
Ellis	Mammoth Motel	Trunk Water Park	Sunday
Harrison	Oliphant Camp	Jumbo Studios	Friday
Harrison	Oliphant Camp	Jumbo Studios	Saturday
Harrison	Oliphant Camp	Animal Planet Zoo	Sunday
Gibson	Tusk Hotel	Jumbo Kingdom	Friday
Gibson	Tusk Hotel	Jumbo Kingdom	Saturday
Gibson	Tusk Hotel	Animal Planet Zoo	Sunday
Mcdonald	Tusk Hotel	Jumbo Kingdom	Friday
Mcdonald	Tusk Hotel	Jumbo Golf Course	Saturday
Mcdonald	Tusk Hotel	Animal Planet Zoo	Sunday
Cruz	Mammoth Motel	Jumbo Studios	Friday
Cruz	Mammoth Motel	World's Fair	Saturday
Cruz	Mammoth Motel	Animal Planet Zoo	Sunday
Marshall	Mammoth Motel	Jumbo Studios	Friday
Marshall	Mammoth Motel	Jumbo Kingdom	Saturday
Marshall	Mammoth Motel	World's Fair	Sunday
Ortiz	Oliphant Camp	World's Fair	Friday
Ortiz	Oliphant Camp	Animal Planet Zoo	Saturday
Ortiz	Oliphant Camp	Jumbo Kingdom	Sunday
Gomez	Mammoth Motel	Jumbo Golf Course	Friday
Gomez	Mammoth Motel	Jumbo Studios	Saturday
Gomez	Mammoth Motel	World's Fair	Sunday
Murray	Mouse Resort	Jumbo Golf Course	Friday
Murray	Mouse Resort	Animal Planet Zoo	Saturday
Murray	Mouse Resort	Jumbo Studios	Sunday
Freeman	Loxodon Lodge	World's Fair	Friday
Freeman	Loxodon Lodge	Jumbo Studios	Saturday
Freeman	Loxodon Lodge	Jumbo Studios	Sunday
Wells	Elephant Lodge	Animal Planet Zoo	Friday
Wells	Elephant Lodge	Animal Planet Zoo	Saturday
Wells	Elephant Lodge	Jumbo Kingdom	Sunday
Webb	Oliphant Camp	Jumbo Kingdom	Friday
Webb	Oliphant Camp	World's Fair	Saturday
Webb	Oliphant Camp	Jumbo Studios	Sunday
Simpson	Oliphant Camp	Jumbo Studios	Friday
Simpson	Oliphant Camp	Jumbo Kingdom	Saturday
Simpson	Oliphant Camp	Jumbo Kingdom	Sunday
Stevens	Tusk Hotel	Jumbo Kingdom	Friday
Stevens	Tusk Hotel	Jumbo Kingdom	Saturday
Stevens	Tusk Hotel	Jumbo Studios	Sunday
Tucker	Mammoth Motel	Jumbo Kingdom	Friday
Tucker	Mammoth Motel	Jumbo Studios	Saturday
Tucker	Mammoth Motel	World's Fair	Sunday
Porter	Mammoth Motel	Jumbo Kingdom	Friday
Porter	Mammoth Motel	Jumbo Kingdom	Saturday
Porter	Mammoth Motel	World's Fair	Sunday
Hunter	Mouse Resort	Trunk Water Park	Friday
Hunter	Mouse Resort	World's Fair	Saturday
Hunter	Mouse Resort	Jumbo Kingdom	Sunday
Hicks	Loxodon Lodge	World's Fair	Friday
Hicks	Loxodon Lodge	Jumbo Kingdom	Saturday
Hicks	Loxodon Lodge	Trunk Water Park	Sunday
Crawford	Tusk Hotel	World's Fair	Friday
Crawford	Tusk Hotel	Jumbo Kingdom	Saturday
Crawford	Tusk Hotel	Animal Planet Zoo	Sunday
Henry	Mouse Resort	World's Fair	Friday
Henry	Mouse Resort	Jumbo Studios	Saturday
Henry	Mouse Resort	Jumbo Golf Course	Sunday
Boyd	Pachyderm Suites	Jumbo Kingdom	Friday
Boyd	Pachyderm Suites	World's Fair	Saturday
Boyd	Pachyderm Suites	Jumbo Studios	Sunday
Mason	Trunk Inn	Jumbo Studios	Friday
Mason	Trunk Inn	Jumbo Kingdom	Saturday
Mason	Trunk Inn	Jumbo Kingdom	Sunday
Morales	Loxodon Lodge	Jumbo Studios	Friday
Morales	Loxodon Lodge	World's Fair	Saturday
Morales	Loxodon Lodge	Jumbo Kingdom	Sunday
Kennedy	Trunk Inn	Trunk Water Park	Friday
Kennedy	Trunk Inn	World's Fair	Saturday
Kennedy	Trunk Inn	Jumbo Golf Course	Sunday
Warren	Pachyderm Suites	Jumbo Kingdom	Friday
Warren	Pachyderm Suites	World's Fair	Saturday
Warren	Pachyderm Suites	Animal Planet Zoo	Sunday
Dixon	Pachyderm Suites	World's Fair	Friday
Dixon	Pachyderm Suites	Trunk Water Park	Saturday
Dixon	Pachyderm Suites	Jumbo Kingdom	Sunday
Ramos	Trunk Inn	Jumbo Kingdom	Friday
Ramos	Trunk Inn	Jumbo Studios	Saturday
Ramos	Trunk Inn	Jumbo Studios	Sunday
Reyes	Mammoth Motel	Jumbo Kingdom	Friday
Reyes	Mammoth Motel	Jumbo Golf Course	Saturday
Reyes	Mammoth Motel	Jumbo Studios	Sunday
Burns	Mouse Resort	Jumbo Golf Course	Friday
Burns	Mouse Resort	Jumbo Golf Course	Saturday
Burns	Mouse Resort	Jumbo Studios	Sunday
Gordon	Tusk Hotel	Jumbo Golf Course	Friday
Gordon	Tusk Hotel	World's Fair	Saturday
Gordon	Tusk Hotel	World's Fair	Sunday
Shaw	Loxodon Lodge	Jumbo Kingdom	Friday
Shaw	Loxodon Lodge	Jumbo Studios	Saturday
Shaw	Loxodon Lodge	Trunk Water Park	Sunday
Holmes	Elephant Lodge	World's Fair	Friday
Holmes	Elephant Lodge	Trunk Water Park	Saturday
Holmes	Elephant Lodge	Animal Planet Zoo	Sunday
Rice	Mammoth Motel	World's Fair	Friday
Rice	Mammoth Motel	Jumbo Studios	Saturday
Rice	Mammoth Motel	Trunk Water Park	Sunday
Robertson	Pachyderm Suites	Jumbo Studios	Friday
Robertson	Pachyderm Suites	Jumbo Kingdom	Saturday
Robertson	Pachyderm Suites	World's Fair	Sunday
Hunt	Trunk Inn	Animal Planet Zoo	Friday
Hunt	Trunk Inn	Trunk Water Park	Saturday
Hunt	Trunk Inn	Jumbo Kingdom	Sunday
Black	Oliphant Camp	Jumbo Studios	Friday
Black	Oliphant Camp	Jumbo Kingdom	Saturday
Black	Oliphant Camp	World's Fair	Sunday
Daniels	Loxodon Lodge	Trunk Water Park	Friday
Daniels	Loxodon Lodge	World's Fair	Saturday
Daniels	Loxodon Lodge	Jumbo Kingdom	Sunday
Palmer	Trunk Inn	Jumbo Kingdom	Friday
Palmer	Trunk Inn	World's Fair	Saturday
Palmer	Trunk Inn	Jumbo Studios	Sunday
Mills	Trunk Inn	Jumbo Kingdom	Friday
Mills	Trunk Inn	Jumbo Kingdom	Saturday
Mills	Trunk Inn	Jumbo Studios	Sunday
Nichols	Mouse Resort	Jumbo Golf Course	Friday
Nichols	Mouse Resort	Jumbo Studios	Saturday
Nichols	Mouse Resort	Jumbo Kingdom	Sunday
Grant	Trunk Inn	Jumbo Kingdom	Friday
Grant	Trunk Inn	World's Fair	Saturday
Grant	Trunk Inn	Jumbo Studios	Sunday
Knight	Mammoth Motel	Animal Planet Zoo	Friday
Knight	Mammoth Motel	Jumbo Kingdom	Saturday
Knight	Mammoth Motel	Jumbo Studios	Sunday
Ferguson	Mammoth Motel	Jumbo Studios	Friday
Ferguson	Mammoth Motel	World's Fair	Saturday
Ferguson	Mammoth Motel	Trunk Water Park	Sunday
Rose	Mouse Resort	Jumbo Kingdom	Friday
Rose	Mouse Resort	Jumbo Studios	Saturday
Rose	Mouse Resort	Jumbo Golf Course	Sunday
Stone	Trunk Inn	World's Fair	Friday
Stone	Trunk Inn	World's Fair	Saturday
Stone	Trunk Inn	Jumbo Studios	Sunday
Hawkins	Oliphant Camp	World's Fair	Friday
Hawkins	Oliphant Camp	Jumbo Studios	Saturday
Hawkins	Oliphant Camp	Jumbo Kingdom	Sunday
Dunn	Mammoth Motel	Jumbo Golf Course	Friday
Dunn	Mammoth Motel	Jumbo Kingdom	Saturday
Dunn	Mammoth Motel	World's Fair	Sunday
Perkins	Mouse Resort	World's Fair	Friday
Perkins	Mouse Resort	World's Fair	Saturday
Perkins	Mouse Resort	Jumbo Golf Course	Sunday
Hudson	Tusk Hotel	Jumbo Golf Course	Friday
Hudson	Tusk Hotel	Jumbo Kingdom	Saturday
Hudson	Tusk Hotel	Jumbo Studios	Sunday
Spencer	Loxodon Lodge	Jumbo Kingdom	Friday
Spencer	Loxodon Lodge	Jumbo Studios	Saturday
Spencer	Loxodon Lodge	Jumbo Studios	Sunday
Gardner	Pachyderm Suites	Animal Planet Zoo	Friday
Gardner	Pachyderm Suites	World's Fair	Saturday
Gardner	Pachyderm Suites	Jumbo Kingdom	Sunday
Stephens	Pachyderm Suites	World's Fair	Friday
Stephens	Pachyderm Suites	Jumbo Studios	Saturday
Stephens	Pachyderm Suites	Jumbo Studios	Sunday
Payne	Trunk Inn	Jumbo Kingdom	Friday
Payne	Trunk Inn	Jumbo Studios	Saturday
Payne	Trunk Inn	Animal Planet Zoo	Sunday
Pierce	Mouse Resort	Jumbo Golf Course	Friday
Pierce	Mouse Resort	Jumbo Kingdom	Saturday
Pierce	Mouse Resort	Trunk Water Park	Sunday
Berry	Loxodon Lodge	Trunk Water Park	Friday
Berry	Loxodon Lodge	Trunk Water Park	Saturday
Berry	Loxodon Lodge	Trunk Water Park	Sunday
Matthews	Tusk Hotel	Jumbo Kingdom	Friday
Matthews	Tusk Hotel	World's Fair	Saturday
Matthews	Tusk Hotel	Trunk Water Park	Sunday
Arnold	Mammoth Motel	World's Fair	Friday
