,Jumbo Kingdom,World's Fair,Jumbo Studios,Animal Planet Zoo,Jumbo Golf Course,Trunk Water Park
Underwood,0,0,0,1,0,0
Hogan,1,1,0,1,0,0
Mckenzie,1,1,0,0,0,1
Collier,0,1,1,0,0,1
Luna,1,0,0,0,1,1
Phelps,0,0,1,1,0,1
Mcguire,1,0,1,1,0,0
Allison,0,0,1,0,0,1
Bridges,1,1,0,0,0,0
Wilkerson,1,1,1,0,0,0
Nash,1,1,0,0,0,1
Summers,0,0,1,0,0,1
Atkins,1,1,1,0,0,0
Wilcox,1,0,0,1,0,0
Pitts,1,1,0,0,0,0
Conley,1,1,0,0,0,1
Marquez,1,1,0,0,0,0
Burnett,0,1,1,1,0,0
Richard,0,1,1,0,1,0
Cochran,0,1,0,0,1,0
Chase,1,0,1,1,0,0
Davenport,1,0,1,0,0,0
Hood,0,1,1,1,0,0
Gates,1,1,1,0,0,0
Clay,1,0,1,0,1,0
Ayala,1,0,1,0,0,1
Sawyer,1,1,1,0,0,0
Roman,1,0,1,0,0,0
Vazquez,0,1,0,0,0,0
Dickerson,1,1,0,1,0,0
Hodge,1,1,0,0,0,1
Acosta,0,0,1,1,0,0
Flynn,1,1,0,0,1,0
Espinoza,1,1,0,0,0,0
Nicholson,1,0,0,0,0,1
Monroe,1,0,1,0,1,0
Wolf,1,1,1,0,0,0
Morrow,1,0,1,0,0,0
Kirk,1,1,0,0,0,1
Randall,0,1,0,0,0,0
Anthony,0,1,1,0,0,0
Whitaker,1,1,0,0,0,1
Oconnor,1,1,1,0,0,0
Skinner,0,1,1,0,0,0
Ware,0,1,1,0,1,0
Molina,1,1,1,0,0,0
Kirby,1,1,0,0,1,0
Huffman,1,1,0,0,0,0
Bradford,1,1,1,0,0,0
Charles,1,0,1,1,0,0
Gilmore,1,0,1,1,0,0
Dominguez,1,1,0,0,0,0
Oneal,0,0,1,0,0,1
Bruce,1,1,1,0,0,0
Lang,1,1,0,0,0,0
Combs,1,1,1,0,0,0
Kramer,1,1,0,1,0,0
Heath,0,0,1,0,0,1
Hancock,0,1,1,0,0,0
Gallagher,1,1,1,0,0,0
Gaines,0,1,0,1,0,1
Shaffer,1,1,1,0,0,0
Short,1,0,0,0,0,1
Wiggins,0,0,1,1,0,1
Mathews,1,1,1,0,0,0
Mcclain,0,0,1,1,1,0
Fischer,1,0,0,1,0,0
Wall,0,0,0,0,1,0
Small,1,0,0,0,0,0
Melton,1,0,0,0,1,0
Hensley,0,0,1,0,1,0
Bond,0,1,1,0,0,1
Dyer,0,1,0,0,1,1
Cameron,1,0,1,0,1,0
Grimes,1,0,1,1,0,0
Contreras,1,1,0,0,1,0
Christian,0,1,0,1,0,0
Wyatt,0,1,1,1,0,0
Baxter,1,0,1,0,0,0
Snow,1,0,0,1,0,0
Mosley,1,1,0,0,0,0
Shepherd,1,1,1,0,0,0
Larsen,1,0,1,0,0,1
Hoover,0,1,0,1,0,0
Beasley,0,1,0,1,0,0
Glenn,0,1,0,1,0,0
Petersen,1,1,0,0,1,0
Whitehead,1,0,0,1,0,1
Meyers,1,1,0,0,0,0
Keith,1,0,1,0,0,0
Garrison,1,1,1,0,0,0
Vincent,0,1,1,1,0,0
Shields,1,1,1,0,0,0
Horn,1,0,1,0,0,0
Savage,1,0,1,1,0,0
Olsen,0,1,1,0,0,0
Schroeder,1,1,0,1,0,0
Hartman,1,1,0,1,0,0
Woodard,1,0,1,1,0,0
Mueller,1,0,1,1,0,0
Kemp,1,1,0,0,0,1
Deleon,1,1,1,0,0,0
Booth,1,0,1,0,0,1
Patel,0,0,1,1,0,0
Calhoun,0,1,1,0,0,0
Wiley,1,0,0,1,0,1
Eaton,0,1,1,0,1,0
Cline,1,1,0,0,1,0
Navarro,1,1,0,1,0,0
Harrell,1,0,1,0,1,0
Lester,1,1,0,0,0,0
Humphrey,1,1,0,0,0,0
Parrish,1,1,0,0,0,1
Duran,1,1,1,0,0,0
Hutchinson,1,1,0,1,0,0
Hess,1,1,0,0,0,0
Dorsey,1,1,1,0,0,0
Bullock,0,1,1,1,0,0
Robles,1,1,1,0,0,0
Beard,1,1,1,0,0,0
Dalton,1,1,0,0,1,0
Avila,0,1,0,1,0,1
Vance,1,0,0,1,0,0
Rich,1,1,1,0,0,0
Blackwell,0,1,1,0,0,0
York,1,0,1,0,0,0
Johns,1,0,0,1,0,1
Blankenship,1,1,1,0,0,0
Trevino,1,1,1,0,0,0
Salinas,1,0,0,0,0,0
Campos,1,0,1,1,0,0
Pruitt,0,0,0,1,0,1
Moses,1,0,1,0,1,0
Callahan,0,1,1,0,0,0
Golden,1,1,0,1,0,0
Montoya,0,1,0,1,0,1
Hardin,0,1,1,0,0,0
Guerra,0,0,1,1,0,1
Mcdowell,1,0,1,1,0,0
Carey,0,0,1,1,0,1
Stafford,1,0,0,0,0,1
Gallegos,1,0,0,0,0,0
Henson,0,1,1,1,0,0
Wilkinson,1,1,0,1,0,0
Booker,1,1,0,0,0,0
Merritt,1,1,1,0,0,0
Miranda,0,0,0,1,1,0
Atkinson,0,1,1,1,0,0
Orr,0,1,0,0,0,1
Decker,0,0,0,0,1,1
Hobbs,1,0,1,1,0,0
Preston,1,0,1,0,0,0
Tanner,1,0,1,0,0,0
Knox,1,0,0,1,1,0
Pacheco,1,1,1,0,0,0
Stephenson,1,0,0,1,0,1
Glass,1,1,1,0,0,0
Rojas,0,1,0,1,1,0
Serrano,1,0,1,1,0,0
Marks,0,1,1,0,0,1
Hickman,1,0,1,0,0,0
English,1,0,1,1,0,0
Sweeney,0,1,0,1,1,0
Strong,1,1,0,1,0,0
Prince,1,1,1,0,0,0
Mcclure,0,1,1,0,0,0
Conway,1,1,1,0,0,0
Walter,0,1,0,1,1,0
Roth,1,0,1,0,0,1
Maynard,1,1,1,0,0,0
Farrell,1,1,0,1,0,0
Lowery,0,1,1,1,0,0
Hurst,1,1,1,0,0,0
Nixon,1,1,0,0,1,0
Weiss,1,1,1,0,0,0
Trujillo,1,1,0,0,0,0
Ellison,1,1,0,0,0,0
Sloan,1,1,0,1,0,0
Juarez,1,0,1,0,1,0
Winters,1,0,0,1,1,0
Mclean,1,0,0,1,0,1
Randolph,1,0,0,0,0,1
Leon,1,1,0,1,0,0
Boyer,1,1,0,1,0,0
Villarreal,0,0,1,0,0,1
Mccall,0,0,0,1,0,1
Gentry,0,1,0,1,0,0
Carrillo,0,0,1,1,0,0
Kent,1,0,1,0,0,0
Ayers,1,0,1,0,0,1
Lara,1,1,1,0,0,0
Shannon,1,0,0,1,0,0
Sexton,1,0,0,0,0,0
Pace,1,1,0,1,0,0
Hull,0,1,0,0,0,1
Leblanc,0,0,1,0,1,0
Browning,0,1,0,1,0,1
Velasquez,1,0,0,0,0,0
Leach,1,0,0,0,0,1
Chang,1,0,1,1,0,0
House,0,1,0,0,1,0
Sellers,1,1,0,1,0,0
Herring,1,1,1,0,0,0
Noble,1,0,0,1,0,1
Foley,0,0,0,0,0,1
Bartlett,1,0,1,1,0,0
Mercado,0,1,0,0,0,1
Landry,1,0,1,0,0,0
Durham,1,0,1,0,0,0
Walls,1,0,0,1,0,1
Barr,1,0,1,0,0,1
Mckee,1,0,0,0,1,1
Bauer,0,0,0,0,0,1
Rivers,1,0,1,0,0,1
Everett,1,0,1,0,0,0
Bradshaw,0,0,0,1,0,0
Pugh,1,0,0,1,0,0
Velez,0,0,1,0,1,0
Rush,0,0,1,1,0,1
Estes,1,0,1,1,0,0
Dodson,0,1,1,1,0,0
Morse,0,1,1,0,0,0
Sheppard,1,0,1,1,0,0
Weeks,0,1,1,0,0,1
Camacho,1,0,1,0,1,0
Bean,1,0,0,1,1,0
Barron,0,1,1,0,0,1
Livingston,0,1,1,0,0,0
Middleton,0,1,1,1,0,0
Spears,1,1,0,0,1,0
Branch,1,1,1,0,0,0
Blevins,0,0,1,0,0,0
Chen,1,0,1,0,0,1
Kerr,1,0,1,1,0,0
Mcconnell,1,1,1,0,0,0
Hatfield,1,1,1,0,0,0
Harding,1,0,1,1,0,0
Ashley,1,0,1,1,0,0
Solis,0,0,1,0,0,1
Herman,0,1,1,1,0,0
Frost,1,1,0,0,0,0
Giles,1,1,1,0,0,0
Blackburn,1,1,1,0,0,0
William,1,1,0,0,0,0
Pennington,0,1,1,0,0,1
Woodward,1,0,1,1,0,0
Finley,1,1,0,1,0,0
Mcintosh,1,1,1,0,0,0
Koch,1,0,0,0,0,1
Best,0,1,1,1,0,0
Solomon,1,1,1,0,0,0
Mccullough,0,1,0,0,1,1
Dudley,1,0,1,0,0,1
Nolan,1,1,1,0,0,0
Blanchard,1,0,1,1,0,0
Rivas,0,1,1,0,0,0
Brennan,1,1,0,0,0,1
Mejia,1,1,0,0,0,1
Kane,0,1,0,1,1,0
Benton,1,1,1,0,0,0
Joyce,0,1,1,1,0,0
Buckley,1,0,1,0,0,1
Haley,1,0,1,1,0,0
Valentine,0,1,0,0,0,0
Maddox,0,1,1,0,0,1
Russo,1,1,1,0,0,0
Mcknight,0,1,0,0,1,0
Buck,1,1,0,0,0,0
Moon,0,1,0,1,0,1
Mcmillan,1,0,0,0,0,1
Crosby,0,1,1,0,1,0
Berg,1,0,0,0,0,1
Dotson,1,0,1,0,0,1
Mays,1,1,1,0,0,0
Roach,0,1,1,0,0,1
Church,0,0,1,1,0,1
Chan,1,1,0,0,0,1
Richmond,0,1,0,1,0,1
Meadows,0,1,1,0,1,0
Faulkner,1,1,0,0,0,1
Oneill,1,0,1,1,0,0
Knapp,1,0,1,0,0,1
Kline,0,1,1,0,0,0
Barry,1,0,1,1,0,0
Ochoa,1,0,0,0,0,1
Jacobson,1,0,1,1,0,0
Gay,1,1,1,0,0,0
Avery,1,1,1,0,0,0
Hendricks,1,0,0,1,0,0
Horne,0,1,1,0,0,1
Shepard,1,0,1,0,0,0
Hebert,0,1,1,1,0,0
Cherry,0,1,1,0,0,0
Cardenas,1,1,0,0,0,1
Mcintyre,1,0,1,1,0,0
Whitney,0,1,0,0,0,1
Waller,1,0,1,0,1,0
Holman,1,1,1,0,0,0
Donaldson,1,0,0,0,1,0
Cantu,1,0,1,0,0,0
Terrell,1,1,1,0,0,0
Morin,1,0,0,0,0,0
Gillespie,1,0,0,0,1,1
Fuentes,1,0,0,0,0,1
Tillman,0,1,0,0,1,0
Sanford,1,1,0,1,0,0
Bentley,1,1,1,0,0,0
Peck,1,0,1,0,1,0
Key,0,1,0,0,1,0
Salas,0,1,1,0,0,0
Rollins,1,0,0,1,0,0
Gamble,1,0,1,0,0,0
Dickson,1,1,1,0,0,0
Battle,1,1,0,1,0,0
Santana,1,0,1,0,0,0
Cabrera,1,1,1,0,0,0
Cervantes,1,1,0,0,0,1
Howe,1,1,1,0,0,0
Hinton,1,1,0,0,1,0
Hurley,0,0,1,1,0,0
Spence,1,1,0,1,0,0
Zamora,1,0,0,1,0,1
Yang,0,1,0,1,0,1
Mcneil,1,0,1,0,1,0
Suarez,1,1,1,0,0,0
Case,1,0,0,0,0,1
Petty,0,0,0,1,1,1
Gould,1,1,0,0,0,1
Mcfarland,1,0,1,0,1,0
Sampson,1,0,1,0,0,1
Carver,1,0,0,0,0,0
Bray,1,1,0,1,0,0
Rosario,0,1,0,1,1,0
Macdonald,1,1,1,0,0,0
Stout,1,1,0,1,0,0
Hester,0,1,1,0,0,1
Melendez,1,1,1,0,0,0
Dillon,1,1,1,0,0,0
Farley,0,0,1,0,0,1
Hopper,0,1,1,1,0,0
Galloway,0,1,1,1,0,0
Potts,1,0,1,0,0,0
